發文ID,,文章ID,發文時間,更新時間,樓層,留言內容,按讚數,withNickname,是否被作者隱藏,meta,是否為發文者,性別,學校,reportReason,mediaMeta,是否隱藏,inReview,reportReasonText,isSuspiciousAccount,isModerator,doorplate,subCommentCount,edited,postAvatar,activityAvatar,verifiedBadge,memberType,enablePrivateMessage,個人主頁
c7d51a4c-8871-4142-b3e5-5a6f16722da5,True,238227346,2022-02-28T00:51:54.705Z,2022-02-28T00:51:54.705Z,3,me English god,1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,3,1,False,,,False,,,
92f9a81c-b8ce-44dc-a803-44c1ec542ca4,True,238227346,2022-03-01T04:13:30.405Z,2022-03-01T04:13:30.405Z,4,口音很酷,1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,4,1,False,,,False,,,
eb77844b-dfb5-4b4a-9b4e-3f8e52795669,True,238217844,2022-02-26T06:42:57.347Z,2022-02-26T06:43:30.433Z,1,之前有修過這位老師其他的課，分數給的很甜，超級佛👍👍,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,0,False,,,False,,False,
95dc6993-f3db-4e32-afda-383bdb8e6364,True,238217844,2022-02-26T08:57:11.627Z,2022-02-26T08:57:11.627Z,2,詠隆佛爆啦⋯⋯,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,0,False,,,False,,,
a3da45c3-8300-46a2-808f-8905cd1e727e,True,238213783,2022-02-25T14:34:51.398Z,2022-02-25T14:34:51.398Z,1,好吃,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,0,False,,,False,,,
a8b5b179-7c0f-42bc-a4b2-b9f3d9034da9,True,238213783,2022-02-25T15:08:54.570Z,2022-02-25T15:08:54.570Z,2,"卡
好奇 雖然這次沒搶到q",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,0,False,,,False,,,
acb9765b-61c1-4379-9fd9-64f21ce3a878,True,238213783,2022-02-25T15:19:31.143Z,2022-02-25T15:21:52.034Z,3,,,False,True,{},False,,,,[],True,False,,False,False,3,0,False,,,False,,,
743fc603-18d1-413c-b39b-4e21ed6247b4,True,238213783,2022-02-25T15:21:58.693Z,2022-02-25T15:21:58.693Z,4,好健康,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,4,0,False,,,False,,,
6b2c7cd8-f69f-48fd-a569-884b59ca0899,True,238213783,2022-02-25T15:47:36.194Z,2022-02-25T15:47:36.194Z,5,"可以當喉糖吃，也可以學到很多。
認真修完一學期課程，看到電視購物上面一堆奇怪產品，就會有種想法.....
還好，林北有修課不會再被騙！！！
推！！！！！",0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,5,0,False,,,False,,,
f32819f5-c34f-43cc-a6aa-10479bfc071c,True,238213783,2022-02-25T15:50:20.674Z,2022-02-25T15:50:20.674Z,6,"才剛上了第一堂課
之前上過老師的其他課，她是認真的老師。
這堂課除了上課之外要找paper分組報告一次
，paper部分中英文都可以。
不用期中考只要期末考",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,6,0,False,,,False,,,
3ce86714-124a-4a7f-8983-453b3de0a148,False,238213783,2022-02-26T02:02:26.315Z,2022-02-26T02:02:26.315Z,7,"小亮很讚
雖然我畢業好久忘了課在幹嘛",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,7,0,False,,,False,,,生物科技學系
6f7939ca-10cf-412e-8468-41b5490bd7ad,True,238207785,2022-02-25T02:34:06.903Z,2022-02-25T02:34:06.903Z,1,"財法富🈹️禮拜二晚上會開民總課輔
有興趣可以報名參加",1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,2,False,,,False,,,
cbce65d1-0c61-4f84-8fbc-2f88910f87b0,True,238207785,2022-02-25T05:03:05.233Z,2022-02-25T05:03:05.233Z,2,我也是外系的 老師上課很有趣很輕鬆但又學到很多！我為了上這位老師的課調自己系上的必修課🤣,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,0,False,,,False,,,
fdf40663-22a4-4d51-9cbd-5cc9a2c484c4,True,238206232,2022-02-25T01:40:20.920Z,2022-02-25T01:40:20.920Z,1,釋出名額🥺,1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,0,False,,,False,,,
d13d2afb-92f6-41c1-a817-e776d54fed87,True,238206232,2022-02-25T06:28:10.611Z,2022-02-25T06:28:10.611Z,2,"要乖乖上課嘿，不要欺負耘竹
（這堂躺著過",1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,3,False,,,False,,,
feee5a53-7920-401e-b63a-c3b34393f5de,True,238192007,2022-02-23T13:02:51.716Z,2022-02-23T13:02:51.716Z,1,版上都有為什麼不先查,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,0,False,,,False,,,
5c9c3653-d17b-45c2-881e-a0539bdc2398,True,238186286,2022-02-22T14:45:32.748Z,2022-02-22T14:45:32.748Z,1,考試不會很難 可以一直補考 認真練習老師都會讓你過,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,1,False,,,False,,,
9c875b42-1890-4ba1-8257-f2ae2ef0ede0,True,238186286,2022-02-22T15:14:57.318Z,2022-02-22T15:14:57.318Z,2,"上學期有修
我覺得考試不算太難 考正反手發球和對打
我也是不太會打桌球 一直補考最後基本上都會過
但我曠課有點多 最後69分過
（體育零學分所以應該還好吧？",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,3,False,,,False,,,
50fc012f-884a-4c06-bf3f-bf0ce00f5ba5,True,238186286,2022-02-22T15:53:47.809Z,2022-02-22T15:53:47.809Z,3,很佛 考試不會很難 我之前上是考發球跟反拍擊球 85分過,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,3,1,False,,,False,,,
73baecfc-a007-4a46-877b-2ed45737f0ea,True,238186286,2022-02-22T19:44:01.036Z,2022-02-22T19:44:01.036Z,4,"老師人很好 ，考試也很簡單，加上我本來就有基礎，95分過
可以找會打的人一起，我們那一桌考試大部分都有90，不太會打的話老師也會降低標準",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,4,2,False,,,False,,,
e2552db8-d949-4c85-a2a0-000a839e4fec,True,238186273,2022-02-22T15:05:50.951Z,2022-02-22T15:05:50.951Z,1,"今天有分期末報告的組別，老師說他是第一次來中原上課，感覺老師滿溫柔的，上課也不會到無聊~
平時20%是出席、期中30%是個人書面報告A4 1~2面、期末40%分組報告，剩下10%是課堂分享！
祝我自己搶的到課🥲",1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,2.0,False,,,False,,,
5b541774-5e23-4d10-90bf-037d03bd9ef3,True,238186199,2022-02-22T14:59:30.815Z,2022-02-22T14:59:30.815Z,1,"要分組報告，報告要好好準備（他不希望照唸簡報文字或是看小抄，分數會很低）
然後我們上學期期末考有筆試，就是上課內容挖空格（超難⋯）。
上課是要注意聽比較好（但我沒有:D）因為老師的簡報蠻亂的，期末自己讀會發瘋（所以蠻多人交白卷或不及格）
上學期：期中報告95 期末考80 加出缺席總成績96",1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,5.0,False,,,False,,,
d81036f7-b3ac-46f1-9a63-72778a66d333,True,238186199,2022-02-23T09:52:19.433Z,2022-02-23T09:52:19.433Z,2,我被當餒，他說會當人不是開玩笑。,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,1.0,False,,,False,,,
aa2c2ea4-48d4-4244-8d65-f02009804c56,True,238180735,2022-02-22T04:52:15.849Z,2022-02-22T04:52:15.849Z,1,"我上課都在算補習班題目
考試就開書考 借同學筆記抄一下
然後最後也不知道在幹啥86過",2.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,0.0,False,,,False,,,
5f4283b4-f727-42ed-acee-ac198ba0adf4,True,238180735,2022-02-22T07:03:36.859Z,2022-02-22T07:03:36.859Z,2,"老師教的不錯啊
考試也不會太難
可以open book 
上課不要講話他不太會管你",2.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,0.0,False,,,False,,,
469a33ea-b6e3-41f1-9843-91ff3118d260,True,238180735,2022-02-22T10:43:04.930Z,2022-02-22T10:43:04.930Z,3,"上課有到
期中期末有來考（考試可以看筆記）
就穩過

雖然老師說選修不想當人
不過那種缺太多堂的還是會被當喔",1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,3,0.0,False,,,False,,,
1f1e3ce0-57f6-4723-a803-ecd5574529be,True,238180735,2022-02-22T10:58:31.789Z,2022-02-22T10:58:31.789Z,4,感謝 以上的經驗分享,1.0,False,False,{},True,M,中原大學,,[],False,False,,False,False,4,0.0,False,,,False,,,
e83431d7-30a6-4b6c-b65e-5d00881613da,True,238048782,2022-02-05T11:02:08.450Z,2022-02-05T11:02:08.450Z,1,有交作業 寫心得就能過了,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,3.0,False,,,False,,,
67e2a051-80e6-448a-87ec-7f330a8d5ba8,True,238048782,2022-02-06T04:18:34.203Z,2022-02-06T04:18:34.203Z,2,審計新村,2.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,0.0,False,,,False,,,
65b9b091-f5a8-4ec2-92fa-613b235b9cb6,False,237936415,2022-01-20T17:49:12.182Z,2022-01-20T17:49:36.249Z,1,這堂課很難，你退掉讓我選,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,0.0,False,,,False,,工業與系统工程學系,False
3ac60e5e-ab0d-4126-9342-1add07eea137,True,237936415,2022-01-21T08:45:46.462Z,2022-01-21T08:45:46.462Z,2,快逃,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,0.0,False,,,False,,,
3f6804db-7de2-4244-ad41-36da75b6703e,True,237936415,2022-01-21T12:01:04.230Z,2022-01-21T12:02:00.045Z,3,"隔週上課 然後上課都要上台報告👍
算輕鬆啦 只是報告挺煩的",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,3,0.0,False,,,False,,,False
731cb032-2d26-4c42-b944-8458e36af3da,True,237936415,2022-01-21T15:10:19.226Z,2022-01-21T15:10:19.226Z,4,老師是我大哥，MIT乾貨,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,4,0.0,False,,,False,,,
6e209365-d130-4951-8ead-38fe1fb94d7a,True,237837782,2022-01-06T12:17:04.834Z,2022-01-06T12:17:28.701Z,1,雲端服務 期中期末應該算心得吧？我記得我修的時候沒有考試。主要是教小朋友數學、英文之類的,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,2.0,False,,,False,,,False
33bbe42f-1ba8-414b-a182-e65e972b4cc3,True,237837782,2022-01-06T16:53:40.137Z,2022-01-06T16:53:40.137Z,2,老師人超好！,1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,0.0,False,,,False,,,
2d9568fc-e255-48af-b4fb-58d687231c00,True,237837782,2022-01-06T18:31:05.443Z,2022-01-06T18:32:16.187Z,3,"每周老師會上一點雲端的課程然後一個小時要跟小朋友連線 是會分組一起教小朋友的 至於教的科目就要看你們選的小朋友需要補習哪些科目，只是育幼院的小朋友大多會有一些小情況 所以要有耐心教課喔～
然後老師人真的很好！期中期末不用考試 還會有分享會 有免費便當 然後分享一下各組上這堂課的心得",1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,3,0.0,False,,,False,,,False
a447d184-c54d-497a-a1d0-300eb534c6ac,True,237836905,2022-01-06T09:50:15.798Z,2022-01-06T09:50:15.798Z,1,一般老師還不錯,1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,0.0,False,,,False,,,
399568eb-96bc-4e35-9e5c-212e6c9795ca,True,237836905,2022-01-06T11:34:35.558Z,2022-01-06T11:34:35.558Z,2,上課就是看個影片 小組討論一下 上台發表想法 期末500字報告,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,0.0,False,,,False,,,
21e9fb7d-52e5-41ba-a6fb-d97f506329ca,True,237836905,2022-01-06T12:06:37.348Z,2022-01-06T12:06:37.348Z,3,蠻佛的,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,3,0.0,False,,,False,,,
a0ebd0de-699f-4989-bd75-2784d6397375,True,237836905,2022-01-06T12:07:24.052Z,2022-01-06T12:07:24.052Z,4,老師人蠻好的！,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,4,0.0,False,,,False,,,
966acb8b-6a8d-48c3-a05a-ec20f600f883,True,237836905,2022-01-06T12:10:37.886Z,2022-01-06T12:10:37.886Z,5,"每次上課有不同議題，看完影片小組討論上台發表，忘記有沒有期中，期末有小組報告
要參加兩次通識活動，但當週不用上課
老師人很好",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,5,0.0,False,,,False,,,
788938f2-94ea-4567-b3ea-d44940e94695,True,237836905,2022-01-06T14:32:12.815Z,2022-01-06T14:32:24.957Z,6,不缺席的話輕輕鬆鬆,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,6,0.0,False,,,False,,,False
9c4ad638-8777-4c5b-a4a7-429eb4d70a57,True,237836905,2022-01-06T15:00:42.312Z,2022-01-06T15:00:42.312Z,7,感謝大家,0.0,False,False,{},True,M,中原大學,,[],False,False,,False,False,7,0.0,False,,,False,,,
bbcf0e2b-aa7c-43e7-99e4-136f3c6f318a,True,237836905,2022-01-07T02:29:47.231Z,2022-01-07T02:29:47.231Z,8,我超推，老師人超好，課也佛,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,8,3.0,False,,,False,,,
19e519f1-6a81-40b1-a92e-78c3f2b4bd82,True,237836905,2022-01-11T03:50:52.521Z,2022-01-11T03:51:10.764Z,9,"建議不要選
分數超不甜
全班沒人90：））））",1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,9,2.0,False,,,False,,,False
5f38ab1e-18b2-4faa-b71b-17db86cc97a4,True,237823026,2022-01-04T16:12:26.616Z,2022-01-04T16:12:26.616Z,1,同樣也查不到 不過我選下去了,3.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,1,0.0,False,,,False,,,
c50b02e8-e380-4ca7-acf2-1251016df7a2,True,237823026,2022-01-04T16:40:58.981Z,2022-01-04T16:40:58.981Z,2,不知道 純粹有名額就選 大不了期中再退選,1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,0.0,False,,,False,,,
bf796da5-1444-4d5d-8f26-27632d4233cb,True,237823026,2022-02-25T11:05:52.823Z,2022-02-25T11:05:52.823Z,3,不好意思 我第一堂課請假 想問一下老師的成績計算方式 謝謝🙏,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,3,1.0,False,,,False,,,
b7ec10db-f267-47f0-9d1b-9e9039ddefb3,True,237805408,2022-01-02T08:02:39.186Z,2022-01-02T08:02:39.186Z,1,文謙人超級好欸,3.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,1.0,False,,,False,,,
40285a51-ab69-4158-bf45-34c383feb790,True,237805408,2022-01-02T11:52:29.606Z,2022-01-02T11:52:29.606Z,2,電機系也有一個人超好🥺,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,2,0.0,False,,,False,,,
83ecb1e2-2d37-424b-9adc-bfb574e803e0,True,237805408,2022-01-02T12:54:13.683Z,2022-01-02T12:54:13.683Z,3,"只要不要太誇張基本上都不會被當
考試只會考他有講過的東西
而且還會告訴你哪裡要劃重點",1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,3,1.0,False,,,False,,,
d3d43354-3eeb-4c27-95dc-405a1b276751,True,237805408,2022-01-02T14:39:07.790Z,2022-01-02T14:39:32.091Z,4,"文謙的講義是可以拿出去賣錢的等級
考前狂K就好",1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,4,1.0,False,,,False,,,False
b623b317-4375-49c2-aa69-4d6f0bf55098,True,237805408,2022-01-02T17:00:29.451Z,2022-01-02T17:00:29.451Z,5,我大文謙  作業紮實  人不錯,1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,5,0.0,False,,,False,,,
ef00bb3f-f975-4a8e-b69a-45693e39f12d,True,237805408,2022-01-03T04:29:47.858Z,2022-01-03T04:29:47.858Z,6,文謙人很好 遠距上課可以學到很多東西， 只要每個禮拜作業有教，考試基本上都考寫過的,1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,6,1.0,False,,,False,,,
fa7fe4af-155c-4c79-9b39-cf723541766c,True,237805408,2022-01-06T00:07:01.475Z,2022-01-06T00:07:47.994Z,7,如果是認真的同學建議不要 因為遠距課 有問題老師回信也很不及時 甚至等到一個禮拜都有可能 有時候甚至講義有錯/上課影片有講錯 但很多人也沒發現 老師也沒有特別發公告 但是不至於被當的程度 老師人也不錯,1.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,7,0.0,False,,,False,,,False
e874ba47-f739-42b2-aba4-138a5fac28b1,True,237774242,2021-12-28T13:25:23.546Z,2021-12-28T15:09:42.488Z,1,,,False,True,{},False,,,,[],True,False,,False,False,1,,False,,,False,,,
274a95df-3a68-48cf-ba1c-96e36297b956,True,237774242,2021-12-28T15:09:19.203Z,2021-12-29T23:46:35.666Z,2,,,False,True,{},False,,,,[],True,False,,False,False,2,,False,,,False,,,
1c07361f-a258-4c67-bf93-70513629e49b,True,237772928,2021-12-28T10:06:10.299Z,2021-12-28T10:06:10.299Z,1,宗哲人哲有夠難搶⋯,17.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,,False,,,False,,,
4948b9be-8bc9-4315-9f77-e54be36cabea,True,237772928,2021-12-28T10:22:37.636Z,2021-12-28T10:22:37.636Z,2,"退了好可惜啊～～
我覺得他人還不錯啊哈哈哈
評價不好可能大部分都是在說他的說話跟觀念問題之類的
但就選擇不要聽就好～我上課都做自己的事
其實大部分的人都是在做自己的事🤣",9.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,2,,False,,,False,,,
4872be46-9bd7-419a-a5c0-b9e9b34ad4aa,True,237772928,2021-12-28T10:32:16.046Z,2021-12-28T10:32:16.046Z,3,"B2 真的 而且是宗哲欸
有總比沒有好啊～
他的課你基本上也是有來然後做好報告就能過的
覺得別退啦🥺
（by大四只搶到宗哲的老女人",6.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,3,,False,,,False,,,
fc18a7d8-5ef8-41da-9e41-6b888541f5d4,True,237772928,2021-12-28T10:33:52.149Z,2021-12-28T10:33:52.149Z,4,但我已經退了各位😭,0.0,False,False,{},True,F,中原大學,,[],False,False,,False,False,4,,False,,,False,,,
b0d493a4-4375-46ac-a28d-d56475242a5d,True,237772928,2021-12-28T11:06:15.233Z,2021-12-28T11:06:15.233Z,5,"謝啦
B4",1.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,5,,False,,,False,,,
7bd75c74-5232-4278-99d1-4c81f5780d3f,True,237772928,2021-12-28T12:13:39.142Z,2021-12-28T12:13:39.142Z,6,認真覺得上宗哲人哲硬著頭皮也要修完，不然不知道你什麼時候會再選上,3.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,6,,False,,,False,,,
ccd8d639-7821-412f-b9ec-6a47d0c1caff,True,237772928,2021-12-28T12:15:45.158Z,2021-12-28T12:15:45.158Z,7,"笨蛋才退
除了上課的一些觀念或作為可能讓人看不慣
但其實整個學期才交4份報告
然後上台報告一次
而且很好講話
有什麼問題都可以溝通
評價不好可能是他的行為
但謝謝你的退選😚",2.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,7,,False,,,False,,,
f71de6dd-8c6e-4d3f-aaf0-60c848bc07ae,True,237772928,2021-12-28T12:23:24.548Z,2021-12-28T12:23:24.548Z,8,"退宗哲真的要確定欸 大四排課還要多考慮一門:)
阿幹我宗哲人哲從大一選到大三沒一次選到過",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,8,,False,,,False,,,
605dc6c1-df3d-42d8-987c-0a44b1c63978,True,237772928,2021-12-28T12:30:10.233Z,2021-12-28T12:30:10.233Z,9,宗哲唯一支持林雄堅,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,9,,False,,,False,,,
71104e0b-7fc4-4d03-b880-8e8a287756dd,True,237772928,2021-12-28T13:24:11.676Z,2021-12-28T13:24:11.676Z,10,上到一半疫情，報告也沒報告就過了,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,10,,False,,,False,,,
275b6f5d-7c2f-40ea-a42e-d30dc9150aad,True,237772928,2021-12-28T13:44:45.538Z,2021-12-28T13:44:53.112Z,11,"我當年就是傻傻的退掉
四年級才選到...
真的別退",0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,11,,False,,,False,,,False
32858d85-aabf-4815-ae9b-9698dac95b03,True,237772928,2021-12-28T14:15:11.556Z,2021-12-28T14:15:11.556Z,12,"真心覺得你退的好
我上學期有修他的
每次上課都覺得不舒服
言行舉止的部分",0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,12,,False,,,False,,,
bc58d681-2e46-4eea-b019-ed0480e6fdea,True,237772928,2021-12-28T21:24:50.789Z,2021-12-28T21:24:50.789Z,13,B12 謝謝你的安慰⋯🥲🥲,0.0,False,False,{},True,F,中原大學,,[],False,False,,False,False,13,,False,,,False,,,
5cc0f7bf-5ab0-4dea-b508-f79debbfa8aa,True,237772928,2021-12-29T02:12:31.791Z,2021-12-29T02:12:31.791Z,14,蛤，你說你把宗哲退掉，太好了我要去搶囉,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,14,,False,,,False,,,
c2d2e49c-6adc-418d-91ac-b4a0bf5c135e,True,237772928,2021-12-29T04:51:41.848Z,2021-12-29T04:51:41.848Z,15,他根本佛祖欸..,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,15,,False,,,False,,,
6ab424d4-1857-485e-906f-b913b6387d19,True,237772928,2021-12-29T11:57:45.989Z,2021-12-29T11:57:45.989Z,16,推康克 英文可以進步,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,16,,False,,,False,,,
7c126193-a790-46d7-893e-be9407b226fe,True,237772928,2021-12-29T16:59:32.060Z,2021-12-29T16:59:32.060Z,17,你說的對,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,17,,False,,,False,,,
e79c1b26-5ae3-4d29-a227-627ffdb1f415,True,237772928,2021-12-29T17:15:49.185Z,2021-12-29T17:15:49.185Z,18,B16 選不到阿嗚嗚嗚,0.0,False,False,{},False,M,中原大學,,[],False,False,,False,False,18,,False,,,False,,,
cf5fc06e-a8f6-4ba6-a5bd-a9c794918e77,True,237772928,2022-02-21T11:11:08.998Z,2022-02-21T11:11:08.998Z,19,B2 請問他的課有需要課本嗎,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,19,,False,,,False,,,
7fd5ea3c-707b-422a-9c50-99daa0ee2b7c,True,237772928,2022-02-21T11:11:38.454Z,2022-02-21T11:11:38.454Z,20,B19 不需要哦～,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,20,,False,,,False,,,
94211363-beb5-41ac-bc5a-c4718ca20705,True,237767780,2021-12-28T13:43:00.391Z,2021-12-28T13:43:00.391Z,1,我正在修租稅實務 老師人真的超好 他要趕火車所以會提早放人 上次期中考他給的講義 期末我還在等🤣,0.0,False,False,{},False,F,中原大學,,[],False,False,,False,False,1,,False,,,False,,,
